origin,destination,type,price,duration,main_attraction
Goa,Shimla,flight,9395,99,Mall Road,Jakhoo Temple
Indore,Shimla,bus,1568,384,Mall Road,Jakhoo Temple
Udaipur,Bangalore,flight,6607,208,Bangalore Palace,Lalbagh Botanical Garden
Mumbai,Nagpur,bus,1309,471,Deekshabhoomi,Ambazari Lake
Mysore,Agra,flight,9887,80,Taj Mahal,Agra Fort
Bangalore,Mysore,flight,3347,137,Mysore Palace,Brindavan Gardens
Mysore,Udaipur,flight,8027,235,City Palace,Lake Pichola
Kashmir,Udaipur,flight,3560,81,City Palace,Lake Pichola
Bhopal,Shimla,flight,9233,107,Mall Road,Jakhoo Temple
Bangalore,Chennai,flight,8182,234,Marina Beach,Kapaleeshwarar Temple
Pune,Bhopal,flight,5532,198,Upper Lake,Bhimbetka Rock Shelters
Surat,Mumbai,flight,7748,71,Gateway of India,Marine Drive
Bangalore,Udaipur,flight,9561,157,City Palace,Lake Pichola
Bhopal,Ahmedabad,flight,4777,131,Sabarmati Ashram,Adalaj Stepwell
Hyderabad,Indore,bus,816,554,Rajwada Palace,Lal Bagh Palace
Jaipur,Mumbai,bus,619,605,Gateway of India,Marine Drive
Hyderabad,Dehradun,flight,9758,239,Robber's Cave,Forest Research Institute
Hyderabad,Kolkata,bus,1923,549,Victoria Memorial,Howrah Bridge
Ahmedabad,Kashmir,flight,9646,94,Pahalgam ,Dal Lake
Varanasi,Kashmir,bus,1883,746,Pahalgam ,Dal Lake
Nagpur,Kolkata,flight,7226,157,Victoria Memorial,Howrah Bridge
Patna,Shimla,bus,523,550,Mall Road,Jakhoo Temple
Chennai,Udaipur,bus,787,478,City Palace,Lake Pichola
Indore,Bhopal,flight,6712,90,Upper Lake,Bhimbetka Rock Shelters
Shimla,Kolkata,train,1956,690,Victoria Memorial,Howrah Bridge
Udaipur,Nagpur,bus,1485,884,Deekshabhoomi,Ambazari Lake
Kolkata,Ahmedabad,car,4393,213,Sabarmati Ashram,Adalaj Stepwell
Bhopal,Hyderabad,flight,3339,192,Charminar,Golkonda Fort
Bhopal,Agra,flight,8349,100,Taj Mahal,Agra Fort
Mysore,Amritsar,bus,1552,743,Golden Temple,Jallianwala Bagh
Patna,Mysore,bus,617,892,Mysore Palace,Brindavan Gardens
Ahmedabad,Agra,train,2095,661,Taj Mahal,Agra Fort
Dehradun,Kolkata,train,2850,643,Victoria Memorial,Howrah Bridge
Bhopal,Udaipur,flight,3249,192,City Palace,Lake Pichola
Goa,Agra,flight,3152,204,Taj Mahal,Agra Fort
Pune,Kashmir,flight,7975,61,Pahalgam ,Dal Lake
Patna,Agra,flight,5156,216,Taj Mahal,Agra Fort
Goa,Lucknow,flight,5998,121,Bara Imambara,Chota Imambara
Shimla,Jaipur,train,3780,721,Amber Fort,City Palace
Amritsar,Hyderabad,bus,1292,813,Charminar,Golkonda Fort
Hyderabad,Lucknow,flight,8100,236,Bara Imambara,Chota Imambara
Udaipur,Ahmedabad,flight,8792,85,Sabarmati Ashram,Adalaj Stepwell
Mumbai,Varanasi,flight,9033,76,Kashi Vishwanath Temple,Dashashwamedh Ghat
Dehradun,Hyderabad,bus,1043,349,Charminar,Golkonda Fort
Shimla,Goa,bus,1731,362,Baga Beach,Fort Aguada
Nagpur,Mysore,bus,658,777,Mysore Palace,Brindavan Gardens
Varanasi,Ahmedabad,train,1290,643,Sabarmati Ashram,Adalaj Stepwell
Dehradun,Lucknow,car,1101,425,Bara Imambara,Chota Imambara
Goa,Lucknow,flight,7540,122,Bara Imambara,Chota Imambara
Mumbai,Varanasi,flight,5270,204,Kashi Vishwanath Temple,Dashashwamedh Ghat
Mysore,Kashmir,flight,9920,212,Pahalgam ,Dal Lake
Nagpur,Kolkata,flight,5141,218,Victoria Memorial,Howrah Bridge
Chennai,Agra,flight,3322,199,Taj Mahal,Agra Fort
Shimla,Delhi,bus,1752,354,Red Fort,Qutub Minar
Agra,Udaipur,flight,4642,74,City Palace,Lake Pichola
Patna,Jaipur,flight,5617,191,Amber Fort,City Palace
Kolkata,Shimla,car,4582,231,Mall Road,Jakhoo Temple
Delhi,Kolkata,bus,941,361,Victoria Memorial,Howrah Bridge
Agra,Kashmir,flight,8429,123,Pahalgam ,Dal Lake
Jaipur,Ahmedabad,train,2361,716,Sabarmati Ashram,Adalaj Stepwell
Varanasi,Udaipur,flight,3155,168,City Palace,Lake Pichola
Kolkata,Shimla,train,3088,330,Mall Road,Jakhoo Temple
Chennai,Chandigarh,flight,8652,200,Rock Garden,Sukhna Lake
Kashmir,Delhi,bus,1479,691,Red Fort,Qutub Minar
Mysore,Udaipur,flight,3491,202,City Palace,Lake Pichola
Mysore,Kolkata,flight,6403,75,Victoria Memorial,Howrah Bridge
Lucknow,Nagpur,flight,7530,183,Deekshabhoomi,Ambazari Lake
Delhi,Jaipur,bus,1679,530,Amber Fort,City Palace
Jaipur,Patna,flight,8737,223,Golghar,Nalanda University
Mumbai,Mysore,flight,7183,193,Mysore Palace,Brindavan Gardens
Shimla,Varanasi,train,2095,638,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bhopal,Ahmedabad,bus,1027,410,Sabarmati Ashram,Adalaj Stepwell
Chennai,Surat,flight,3679,72,Dumas Beach,Sarthana Nature Park
Mysore,Goa,flight,4660,162,Baga Beach,Fort Aguada
Patna,Mumbai,bus,1092,803,Gateway of India,Marine Drive
Jaipur,Lucknow,car,4297,478,Bara Imambara,Chota Imambara
Pune,Goa,flight,5082,67,Baga Beach,Fort Aguada
Shimla,Chandigarh,train,3820,729,Rock Garden,Sukhna Lake
Goa,Nagpur,flight,8735,201,Deekshabhoomi,Ambazari Lake
Goa,Bhopal,flight,5704,189,Upper Lake,Bhimbetka Rock Shelters
Mumbai,Shimla,flight,7988,101,Mall Road,Jakhoo Temple
Lucknow,Surat,flight,6626,79,Dumas Beach,Sarthana Nature Park
Dehradun,Hyderabad,bus,1381,545,Charminar,Golkonda Fort
Shimla,Ahmedabad,car,4121,313,Sabarmati Ashram,Adalaj Stepwell
Kashmir,Hyderabad,flight,4756,238,Charminar,Golkonda Fort
Hyderabad,Mumbai,flight,8592,174,Gateway of India,Marine Drive
Pune,Ahmedabad,car,1674,247,Sabarmati Ashram,Adalaj Stepwell
Nagpur,Delhi,flight,8681,162,Red Fort,Qutub Minar
Ahmedabad,Kolkata,train,1976,590,Victoria Memorial,Howrah Bridge
Hyderabad,Bhopal,flight,5348,92,Upper Lake,Bhimbetka Rock Shelters
Udaipur,Ahmedabad,flight,7419,112,Sabarmati Ashram,Adalaj Stepwell
Shimla,Delhi,flight,5210,78,Red Fort,Qutub Minar
Dehradun,Amritsar,car,5452,438,Golden Temple,Jallianwala Bagh
Bangalore,Shimla,flight,7925,117,Mall Road,Jakhoo Temple
Delhi,Goa,flight,7831,177,Baga Beach,Fort Aguada
Jaipur,Hyderabad,flight,9554,158,Charminar,Golkonda Fort
Kashmir,Patna,bus,1256,642,Golghar,Nalanda University
Udaipur,Kolkata,flight,9988,174,Victoria Memorial,Howrah Bridge
Jaipur,Ahmedabad,car,3446,195,Sabarmati Ashram,Adalaj Stepwell
Varanasi,Chennai,flight,5777,133,Marina Beach,Kapaleeshwarar Temple
Hyderabad,Agra,flight,7765,237,Taj Mahal,Agra Fort
Indore,Lucknow,flight,5285,120,Bara Imambara,Chota Imambara
Pune,Lucknow,car,4006,375,Bara Imambara,Chota Imambara
Delhi,Patna,bus,1214,469,Golghar,Nalanda University
Kashmir,Shimla,bus,571,324,Mall Road,Jakhoo Temple
Bangalore,Indore,flight,5763,205,Rajwada Palace,Lal Bagh Palace
Patna,Bhopal,flight,4586,92,Upper Lake,Bhimbetka Rock Shelters
Dehradun,Bhopal,flight,6191,226,Upper Lake,Bhimbetka Rock Shelters
Patna,Nagpur,flight,8377,186,Deekshabhoomi,Ambazari Lake
Kashmir,Lucknow,flight,3978,65,Bara Imambara,Chota Imambara
Pune,Patna,bus,673,408,Golghar,Nalanda University
Mysore,Ahmedabad,flight,3641,87,Sabarmati Ashram,Adalaj Stepwell
Mysore,Mumbai,flight,3086,72,Gateway of India,Marine Drive
Mysore,Kolkata,flight,9186,202,Victoria Memorial,Howrah Bridge
Agra,Chennai,flight,5032,61,Marina Beach,Kapaleeshwarar Temple
Lucknow,Mysore,bus,1762,522,Mysore Palace,Brindavan Gardens
Shimla,Surat,bus,1775,809,Dumas Beach,Sarthana Nature Park
Mumbai,Udaipur,bus,1088,800,City Palace,Lake Pichola
Lucknow,Mumbai,bus,1117,530,Gateway of India,Marine Drive
Kolkata,Mumbai,flight,7136,114,Gateway of India,Marine Drive
Pune,Mysore,bus,939,680,Mysore Palace,Brindavan Gardens
Kashmir,Ahmedabad,flight,5356,155,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Hyderabad,bus,1096,510,Charminar,Golkonda Fort
Goa,Varanasi,flight,6103,144,Kashi Vishwanath Temple,Dashashwamedh Ghat
Surat,Lucknow,bus,1442,868,Bara Imambara,Chota Imambara
Mumbai,Bangalore,flight,5128,134,Bangalore Palace,Lalbagh Botanical Garden
Surat,Chandigarh,bus,1777,393,Rock Garden,Sukhna Lake
Goa,Bhopal,bus,1640,869,Upper Lake,Bhimbetka Rock Shelters
Chandigarh,Lucknow,car,4956,415,Bara Imambara,Chota Imambara
Kolkata,Dehradun,car,5643,198,Robber's Cave,Forest Research Institute
Delhi,Lucknow,flight,7151,177,Bara Imambara,Chota Imambara
Pune,Kolkata,train,3957,897,Victoria Memorial,Howrah Bridge
Shimla,Chandigarh,car,3203,336,Rock Garden,Sukhna Lake
Pune,Mysore,flight,6293,166,Mysore Palace,Brindavan Gardens
Lucknow,Chennai,bus,1542,471,Marina Beach,Kapaleeshwarar Temple
Lucknow,Patna,flight,5724,77,Golghar,Nalanda University
Lucknow,Ahmedabad,train,1102,852,Sabarmati Ashram,Adalaj Stepwell
Kolkata,Hyderabad,bus,1589,695,Charminar,Golkonda Fort
Goa,Hyderabad,flight,3983,228,Charminar,Golkonda Fort
Chennai,Bangalore,flight,4437,125,Bangalore Palace,Lalbagh Botanical Garden
Lucknow,Delhi,flight,3527,110,Red Fort,Qutub Minar
Indore,Surat,bus,914,378,Dumas Beach,Sarthana Nature Park
Varanasi,Mumbai,flight,8476,238,Gateway of India,Marine Drive
Ahmedabad,Agra,train,1966,481,Taj Mahal,Agra Fort
Jaipur,Kolkata,train,1295,777,Victoria Memorial,Howrah Bridge
Chennai,Amritsar,flight,7775,130,Golden Temple,Jallianwala Bagh
Chennai,Bangalore,flight,4592,145,Bangalore Palace,Lalbagh Botanical Garden
Hyderabad,Kolkata,bus,1323,558,Victoria Memorial,Howrah Bridge
Pune,Bangalore,flight,7408,165,Bangalore Palace,Lalbagh Botanical Garden
Indore,Surat,flight,5303,153,Dumas Beach,Sarthana Nature Park
Jaipur,Udaipur,flight,8729,131,City Palace,Lake Pichola
Mumbai,Jaipur,flight,6541,206,Amber Fort,City Palace
Nagpur,Varanasi,flight,3548,72,Kashi Vishwanath Temple,Dashashwamedh Ghat
Chennai,Udaipur,flight,3533,226,City Palace,Lake Pichola
Mumbai,Jaipur,bus,1083,884,Amber Fort,City Palace
Chandigarh,Bhopal,flight,8665,221,Upper Lake,Bhimbetka Rock Shelters
Nagpur,Bhopal,flight,3861,197,Upper Lake,Bhimbetka Rock Shelters
Delhi,Pune,bus,641,481,Shaniwar Wada,Aga Khan Palace
Mysore,Udaipur,bus,1157,646,City Palace,Lake Pichola
Goa,Jaipur,flight,9746,100,Amber Fort,City Palace
Bangalore,Kolkata,bus,513,526,Victoria Memorial,Howrah Bridge
Goa,Bangalore,flight,5633,100,Bangalore Palace,Lalbagh Botanical Garden
Dehradun,Pune,car,1147,368,Shaniwar Wada,Aga Khan Palace
Mumbai,Kashmir,flight,8470,224,Pahalgam ,Dal Lake
Dehradun,Indore,flight,4870,143,Rajwada Palace,Lal Bagh Palace
Surat,Mysore,bus,502,546,Mysore Palace,Brindavan Gardens
Bhopal,Lucknow,flight,9805,208,Bara Imambara,Chota Imambara
Mumbai,Patna,flight,8306,234,Golghar,Nalanda University
Bhopal,Delhi,flight,4142,169,Red Fort,Qutub Minar
Bhopal,Varanasi,bus,891,353,Kashi Vishwanath Temple,Dashashwamedh Ghat
Mumbai,Ahmedabad,flight,4075,119,Sabarmati Ashram,Adalaj Stepwell
Nagpur,Kashmir,flight,3487,117,Pahalgam ,Dal Lake
Mumbai,Agra,bus,847,705,Taj Mahal,Agra Fort
Bhopal,Shimla,bus,1687,774,Mall Road,Jakhoo Temple
Bangalore,Nagpur,flight,7392,124,Deekshabhoomi,Ambazari Lake
Udaipur,Indore,bus,647,656,Rajwada Palace,Lal Bagh Palace
Chennai,Jaipur,flight,8702,141,Amber Fort,City Palace
Kashmir,Goa,flight,6690,236,Baga Beach,Fort Aguada
Nagpur,Mumbai,flight,7052,208,Gateway of India,Marine Drive
Pune,Jaipur,car,1241,181,Amber Fort,City Palace
Varanasi,Bhopal,flight,9893,177,Upper Lake,Bhimbetka Rock Shelters
Agra,Delhi,flight,8232,234,Red Fort,Qutub Minar
Pune,Ahmedabad,train,3724,608,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Shimla,car,1486,427,Mall Road,Jakhoo Temple
Chandigarh,Nagpur,flight,4217,135,Deekshabhoomi,Ambazari Lake
Pune,Surat,flight,8774,123,Dumas Beach,Sarthana Nature Park
Indore,Surat,flight,6996,216,Dumas Beach,Sarthana Nature Park
Mumbai,Udaipur,bus,1948,688,City Palace,Lake Pichola
Udaipur,Mysore,bus,851,405,Mysore Palace,Brindavan Gardens
Mumbai,Chennai,bus,1375,609,Marina Beach,Kapaleeshwarar Temple
Delhi,Amritsar,flight,4601,184,Golden Temple,Jallianwala Bagh
Agra,Kashmir,flight,8573,166,Pahalgam ,Dal Lake
Chennai,Lucknow,flight,5579,196,Bara Imambara,Chota Imambara
Patna,Varanasi,flight,8084,123,Kashi Vishwanath Temple,Dashashwamedh Ghat
Patna,Bhopal,flight,7506,216,Upper Lake,Bhimbetka Rock Shelters
Delhi,Goa,bus,1173,777,Baga Beach,Fort Aguada
Goa,Shimla,flight,8879,168,Mall Road,Jakhoo Temple
Patna,Lucknow,flight,8368,158,Bara Imambara,Chota Imambara
Varanasi,Kashmir,bus,1740,592,Pahalgam ,Dal Lake
Pune,Surat,flight,5964,236,Dumas Beach,Sarthana Nature Park
Ahmedabad,Chandigarh,train,3823,607,Rock Garden,Sukhna Lake
Bangalore,Mumbai,flight,6264,118,Gateway of India,Marine Drive
Indore,Kashmir,flight,8830,214,Pahalgam ,Dal Lake
Dehradun,Chennai,bus,1828,588,Marina Beach,Kapaleeshwarar Temple
Nagpur,Lucknow,flight,8794,237,Bara Imambara,Chota Imambara
Kashmir,Ahmedabad,flight,4845,154,Sabarmati Ashram,Adalaj Stepwell
Goa,Chandigarh,flight,6105,76,Rock Garden,Sukhna Lake
Pune,Patna,flight,7362,187,Golghar,Nalanda University
Hyderabad,Nagpur,flight,8501,134,Deekshabhoomi,Ambazari Lake
Agra,Amritsar,train,3059,849,Golden Temple,Jallianwala Bagh
Udaipur,Lucknow,bus,1048,369,Bara Imambara,Chota Imambara
Kashmir,Nagpur,flight,9168,86,Deekshabhoomi,Ambazari Lake
Ahmedabad,Hyderabad,flight,7739,192,Charminar,Golkonda Fort
Pune,Mumbai,flight,8442,91,Gateway of India,Marine Drive
Amritsar,Udaipur,bus,1207,337,City Palace,Lake Pichola
Mysore,Udaipur,flight,4870,99,City Palace,Lake Pichola
Surat,Patna,flight,9784,124,Golghar,Nalanda University
Agra,Varanasi,train,3029,336,Kashi Vishwanath Temple,Dashashwamedh Ghat
Pune,Udaipur,bus,1034,566,City Palace,Lake Pichola
Indore,Chennai,bus,820,379,Marina Beach,Kapaleeshwarar Temple
Lucknow,Ahmedabad,train,2840,542,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Shimla,car,4264,228,Mall Road,Jakhoo Temple
Surat,Kolkata,bus,832,850,Victoria Memorial,Howrah Bridge
Agra,Nagpur,flight,4169,148,Deekshabhoomi,Ambazari Lake
Ahmedabad,Udaipur,flight,9629,174,City Palace,Lake Pichola
Chennai,Ahmedabad,bus,1571,324,Sabarmati Ashram,Adalaj Stepwell
Udaipur,Nagpur,flight,6948,226,Deekshabhoomi,Ambazari Lake
Nagpur,Jaipur,flight,7099,110,Amber Fort,City Palace
Nagpur,Ahmedabad,bus,1680,757,Sabarmati Ashram,Adalaj Stepwell
Patna,Dehradun,bus,1010,742,Robber's Cave,Forest Research Institute
Mysore,Kashmir,flight,3112,132,Pahalgam ,Dal Lake
Hyderabad,Lucknow,flight,3746,61,Bara Imambara,Chota Imambara
Kashmir,Shimla,flight,9908,160,Mall Road,Jakhoo Temple
Pune,Delhi,flight,5198,109,Red Fort,Qutub Minar
Mysore,Amritsar,bus,1113,892,Golden Temple,Jallianwala Bagh
Mumbai,Surat,flight,9303,75,Dumas Beach,Sarthana Nature Park
Kolkata,Mumbai,flight,6915,74,Gateway of India,Marine Drive
Nagpur,Ahmedabad,flight,7885,124,Sabarmati Ashram,Adalaj Stepwell
Kashmir,Chennai,flight,3747,60,Marina Beach,Kapaleeshwarar Temple
Pune,Kolkata,train,3909,488,Victoria Memorial,Howrah Bridge
Kashmir,Lucknow,flight,5743,169,Bara Imambara,Chota Imambara
Nagpur,Chennai,flight,6430,197,Marina Beach,Kapaleeshwarar Temple
