origin,destination,type,price,duration,main_attraction
Lucknow,Amritsar,car,5163,269,Golden Temple,Jallianwala Bagh
Kashmir,Udaipur,flight,8309,185,City Palace,Lake Pichola
Patna,Amritsar,bus,1921,618,Golden Temple,Jallianwala Bagh
Surat,Patna,flight,3820,145,Golghar,Nalanda University
Indore,Lucknow,bus,756,857,Bara Imambara,Chota Imambara
Kolkata,Jaipur,train,2932,343,Amber Fort,City Palace
Agra,Bangalore,bus,650,874,Bangalore Palace,Lalbagh Botanical Garden
Patna,Chandigarh,flight,9999,218,Rock Garden,Sukhna Lake
Kashmir,Ahmedabad,bus,1478,671,Sabarmati Ashram,Adalaj Stepwell
Surat,Mysore,bus,956,363,Mysore Palace,Brindavan Gardens
Chandigarh,Amritsar,train,2029,626,Golden Temple,Jallianwala Bagh
Lucknow,Bhopal,flight,3112,236,Upper Lake,Bhimbetka Rock Shelters
Chennai,Kashmir,flight,5497,185,Pahalgam ,Dal Lake
Nagpur,Kashmir,flight,3951,82,Pahalgam ,Dal Lake
Pune,Jaipur,train,2847,573,Amber Fort,City Palace
Goa,Kolkata,flight,8939,193,Victoria Memorial,Howrah Bridge
Surat,Ahmedabad,flight,4480,189,Sabarmati Ashram,Adalaj Stepwell
Udaipur,Chandigarh,bus,1720,750,Rock Garden,Sukhna Lake
Patna,Agra,flight,4734,63,Taj Mahal,Agra Fort
Bangalore,Kolkata,bus,1560,869,Victoria Memorial,Howrah Bridge
Agra,Varanasi,car,3154,422,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bhopal,Agra,flight,9799,111,Taj Mahal,Agra Fort
Ahmedabad,Indore,flight,7094,88,Rajwada Palace,Lal Bagh Palace
Kashmir,Goa,flight,6219,72,Baga Beach,Fort Aguada
Mysore,Ahmedabad,bus,581,615,Sabarmati Ashram,Adalaj Stepwell
Indore,Bangalore,flight,4094,226,Bangalore Palace,Lalbagh Botanical Garden
Nagpur,Mumbai,flight,5842,185,Gateway of India,Marine Drive
Udaipur,Indore,bus,707,569,Rajwada Palace,Lal Bagh Palace
Agra,Lucknow,train,1798,693,Bara Imambara,Chota Imambara
Varanasi,Hyderabad,flight,7605,171,Charminar,Golkonda Fort
Lucknow,Mysore,flight,3744,132,Mysore Palace,Brindavan Gardens
Varanasi,Indore,flight,9285,135,Rajwada Palace,Lal Bagh Palace
Kashmir,Chandigarh,flight,4023,177,Rock Garden,Sukhna Lake
Kolkata,Hyderabad,flight,5692,162,Charminar,Golkonda Fort
Mysore,Varanasi,flight,9788,215,Kashi Vishwanath Temple,Dashashwamedh Ghat
Chandigarh,Hyderabad,flight,5763,237,Charminar,Golkonda Fort
Chandigarh,Varanasi,train,1201,829,Kashi Vishwanath Temple,Dashashwamedh Ghat
Goa,Lucknow,flight,6288,217,Bara Imambara,Chota Imambara
Surat,Chandigarh,flight,5971,161,Rock Garden,Sukhna Lake
Chennai,Kolkata,bus,1792,687,Victoria Memorial,Howrah Bridge
Shimla,Goa,flight,4478,132,Baga Beach,Fort Aguada
Lucknow,Amritsar,train,1152,425,Golden Temple,Jallianwala Bagh
Bhopal,Bangalore,bus,1325,528,Bangalore Palace,Lalbagh Botanical Garden
Hyderabad,Patna,flight,7582,126,Golghar,Nalanda University
Lucknow,Bangalore,bus,632,622,Bangalore Palace,Lalbagh Botanical Garden
Chennai,Kashmir,bus,1465,468,Pahalgam ,Dal Lake
Bhopal,Mumbai,bus,1962,348,Gateway of India,Marine Drive
Nagpur,Hyderabad,bus,630,807,Charminar,Golkonda Fort
Hyderabad,Bangalore,bus,933,779,Bangalore Palace,Lalbagh Botanical Garden
Indore,Ahmedabad,flight,4748,238,Sabarmati Ashram,Adalaj Stepwell
Surat,Nagpur,flight,7965,206,Deekshabhoomi,Ambazari Lake
Udaipur,Ahmedabad,flight,7010,182,Sabarmati Ashram,Adalaj Stepwell
Mumbai,Chandigarh,bus,546,460,Rock Garden,Sukhna Lake
Chandigarh,Kashmir,flight,3472,75,Pahalgam ,Dal Lake
Jaipur,Dehradun,car,2877,188,Robber's Cave,Forest Research Institute
Patna,Dehradun,bus,1920,316,Robber's Cave,Forest Research Institute
Ahmedabad,Shimla,train,3221,417,Mall Road,Jakhoo Temple
Udaipur,Kashmir,bus,1842,824,Pahalgam ,Dal Lake
Delhi,Shimla,flight,9028,133,Mall Road,Jakhoo Temple
Bangalore,Ahmedabad,bus,926,830,Sabarmati Ashram,Adalaj Stepwell
Nagpur,Pune,flight,9134,217,Shaniwar Wada,Aga Khan Palace
Kolkata,Ahmedabad,train,1212,746,Sabarmati Ashram,Adalaj Stepwell
Indore,Goa,flight,5243,117,Baga Beach,Fort Aguada
Amritsar,Mysore,flight,7379,237,Mysore Palace,Brindavan Gardens
Dehradun,Varanasi,train,2434,851,Kashi Vishwanath Temple,Dashashwamedh Ghat
Shimla,Bhopal,flight,7725,149,Upper Lake,Bhimbetka Rock Shelters
Agra,Chennai,bus,855,835,Marina Beach,Kapaleeshwarar Temple
Bangalore,Nagpur,bus,616,709,Deekshabhoomi,Ambazari Lake
Ahmedabad,Surat,flight,9733,114,Dumas Beach,Sarthana Nature Park
Udaipur,Jaipur,flight,6562,221,Amber Fort,City Palace
Mysore,Pune,flight,4979,183,Shaniwar Wada,Aga Khan Palace
Ahmedabad,Bhopal,flight,9642,222,Upper Lake,Bhimbetka Rock Shelters
Surat,Chennai,bus,1467,402,Marina Beach,Kapaleeshwarar Temple
Kolkata,Shimla,train,2079,693,Mall Road,Jakhoo Temple
Mumbai,Kolkata,bus,628,746,Victoria Memorial,Howrah Bridge
Chandigarh,Kolkata,train,3616,898,Victoria Memorial,Howrah Bridge
Indore,Patna,flight,6263,210,Golghar,Nalanda University
Agra,Patna,flight,6897,213,Golghar,Nalanda University
Varanasi,Chandigarh,train,1534,856,Rock Garden,Sukhna Lake
Agra,Bhopal,flight,5157,189,Upper Lake,Bhimbetka Rock Shelters
Patna,Indore,flight,6595,78,Rajwada Palace,Lal Bagh Palace
Hyderabad,Mysore,flight,6812,186,Mysore Palace,Brindavan Gardens
Bhopal,Mysore,flight,3547,170,Mysore Palace,Brindavan Gardens
Kashmir,Pune,bus,1288,887,Shaniwar Wada,Aga Khan Palace
Ahmedabad,Chandigarh,train,3525,635,Rock Garden,Sukhna Lake
Delhi,Kolkata,flight,6611,205,Victoria Memorial,Howrah Bridge
Lucknow,Chandigarh,train,3598,725,Rock Garden,Sukhna Lake
Goa,Nagpur,flight,5526,188,Deekshabhoomi,Ambazari Lake
Chennai,Udaipur,flight,3402,139,City Palace,Lake Pichola
Hyderabad,Mumbai,bus,1987,547,Gateway of India,Marine Drive
Pune,Chandigarh,train,3239,675,Rock Garden,Sukhna Lake
Ahmedabad,Patna,flight,4237,97,Golghar,Nalanda University
Kashmir,Bangalore,flight,4345,227,Bangalore Palace,Lalbagh Botanical Garden
Amritsar,Bangalore,flight,7625,215,Bangalore Palace,Lalbagh Botanical Garden
Delhi,Hyderabad,flight,8093,64,Charminar,Golkonda Fort
Lucknow,Goa,bus,1008,483,Baga Beach,Fort Aguada
Surat,Kolkata,flight,5142,152,Victoria Memorial,Howrah Bridge
Lucknow,Patna,flight,8299,73,Golghar,Nalanda University
Chandigarh,Kashmir,flight,4921,70,Pahalgam ,Dal Lake
Surat,Delhi,bus,1478,865,Red Fort,Qutub Minar
Dehradun,Goa,flight,8929,100,Baga Beach,Fort Aguada
Udaipur,Ahmedabad,bus,864,434,Sabarmati Ashram,Adalaj Stepwell
Pune,Dehradun,car,3803,188,Robber's Cave,Forest Research Institute
Chennai,Mumbai,bus,574,408,Gateway of India,Marine Drive
Bhopal,Chandigarh,flight,3563,81,Rock Garden,Sukhna Lake
Amritsar,Varanasi,train,1797,588,Kashi Vishwanath Temple,Dashashwamedh Ghat
Jaipur,Mysore,flight,5490,125,Mysore Palace,Brindavan Gardens
Dehradun,Mumbai,flight,9666,65,Gateway of India,Marine Drive
Shimla,Udaipur,flight,4940,237,City Palace,Lake Pichola
Jaipur,Chennai,flight,8600,147,Marina Beach,Kapaleeshwarar Temple
Kashmir,Nagpur,bus,749,343,Deekshabhoomi,Ambazari Lake
Surat,Chandigarh,flight,7992,101,Rock Garden,Sukhna Lake
Varanasi,Hyderabad,flight,9990,237,Charminar,Golkonda Fort
Amritsar,Varanasi,car,5127,368,Kashi Vishwanath Temple,Dashashwamedh Ghat
Mumbai,Shimla,flight,6975,194,Mall Road,Jakhoo Temple
Goa,Varanasi,flight,7912,96,Kashi Vishwanath Temple,Dashashwamedh Ghat
Agra,Chennai,bus,1394,888,Marina Beach,Kapaleeshwarar Temple
Bangalore,Indore,flight,7192,160,Rajwada Palace,Lal Bagh Palace
Varanasi,Ahmedabad,train,1521,766,Sabarmati Ashram,Adalaj Stepwell
Nagpur,Dehradun,bus,1500,728,Robber's Cave,Forest Research Institute
Mumbai,Goa,bus,1947,822,Baga Beach,Fort Aguada
Varanasi,Jaipur,car,3243,446,Amber Fort,City Palace
Kashmir,Mysore,flight,4367,239,Mysore Palace,Brindavan Gardens
Surat,Delhi,flight,8033,230,Red Fort,Qutub Minar
Bhopal,Varanasi,bus,1640,824,Kashi Vishwanath Temple,Dashashwamedh Ghat
Hyderabad,Patna,flight,7052,222,Golghar,Nalanda University
Chandigarh,Agra,car,2692,360,Taj Mahal,Agra Fort
Goa,Chennai,flight,4064,190,Marina Beach,Kapaleeshwarar Temple
Bangalore,Ahmedabad,bus,1744,746,Sabarmati Ashram,Adalaj Stepwell
Delhi,Chandigarh,flight,4126,213,Rock Garden,Sukhna Lake
Shimla,Patna,flight,6330,213,Golghar,Nalanda University
Patna,Kashmir,flight,4291,235,Pahalgam ,Dal Lake
Bangalore,Patna,flight,6722,68,Golghar,Nalanda University
Delhi,Goa,flight,8608,167,Baga Beach,Fort Aguada
Shimla,Pune,train,3847,746,Shaniwar Wada,Aga Khan Palace
Mysore,Amritsar,bus,1591,567,Golden Temple,Jallianwala Bagh
Ahmedabad,Surat,flight,6402,237,Dumas Beach,Sarthana Nature Park
Chennai,Bangalore,flight,8778,106,Bangalore Palace,Lalbagh Botanical Garden
Udaipur,Pune,flight,4856,132,Shaniwar Wada,Aga Khan Palace
Udaipur,Ahmedabad,flight,6010,62,Sabarmati Ashram,Adalaj Stepwell
Nagpur,Mysore,bus,1082,715,Mysore Palace,Brindavan Gardens
Patna,Pune,flight,4286,93,Shaniwar Wada,Aga Khan Palace
Bangalore,Jaipur,flight,7613,86,Amber Fort,City Palace
Kashmir,Indore,flight,6194,64,Rajwada Palace,Lal Bagh Palace
Jaipur,Patna,bus,992,406,Golghar,Nalanda University
Mysore,Pune,flight,6044,95,Shaniwar Wada,Aga Khan Palace
Kashmir,Udaipur,flight,4005,85,City Palace,Lake Pichola
Indore,Chandigarh,flight,5880,142,Rock Garden,Sukhna Lake
Indore,Mysore,flight,5383,114,Mysore Palace,Brindavan Gardens
Nagpur,Indore,bus,899,883,Rajwada Palace,Lal Bagh Palace
Shimla,Mysore,flight,5595,204,Mysore Palace,Brindavan Gardens
Nagpur,Hyderabad,bus,1185,848,Charminar,Golkonda Fort
Agra,Mumbai,flight,8482,60,Gateway of India,Marine Drive
Dehradun,Hyderabad,bus,873,826,Charminar,Golkonda Fort
Bhopal,Kolkata,bus,1033,375,Victoria Memorial,Howrah Bridge
Ahmedabad,Amritsar,train,2276,798,Golden Temple,Jallianwala Bagh
Kolkata,Ahmedabad,car,3741,247,Sabarmati Ashram,Adalaj Stepwell
Surat,Nagpur,flight,4056,62,Deekshabhoomi,Ambazari Lake
Delhi,Chennai,flight,3198,175,Marina Beach,Kapaleeshwarar Temple
Indore,Agra,bus,1910,396,Taj Mahal,Agra Fort
Dehradun,Hyderabad,flight,8979,149,Charminar,Golkonda Fort
Patna,Varanasi,bus,1677,423,Kashi Vishwanath Temple,Dashashwamedh Ghat
Delhi,Chandigarh,flight,4447,224,Rock Garden,Sukhna Lake
Surat,Jaipur,flight,5090,154,Amber Fort,City Palace
Pune,Lucknow,train,3549,457,Bara Imambara,Chota Imambara
Bangalore,Amritsar,flight,9950,145,Golden Temple,Jallianwala Bagh
Udaipur,Pune,flight,7963,62,Shaniwar Wada,Aga Khan Palace
Nagpur,Kolkata,flight,8137,145,Victoria Memorial,Howrah Bridge
Lucknow,Bhopal,flight,6123,69,Upper Lake,Bhimbetka Rock Shelters
Bhopal,Mumbai,flight,5621,185,Gateway of India,Marine Drive
Patna,Agra,flight,3960,103,Taj Mahal,Agra Fort
Shimla,Pune,train,2450,385,Shaniwar Wada,Aga Khan Palace
Pune,Lucknow,car,5831,271,Bara Imambara,Chota Imambara
Varanasi,Jaipur,car,3286,277,Amber Fort,City Palace
Varanasi,Mumbai,bus,1205,573,Gateway of India,Marine Drive
Goa,Kashmir,flight,4478,224,Pahalgam ,Dal Lake
Bangalore,Shimla,bus,1135,598,Mall Road,Jakhoo Temple
Bhopal,Chennai,flight,4688,104,Marina Beach,Kapaleeshwarar Temple
Surat,Jaipur,flight,9970,153,Amber Fort,City Palace
Amritsar,Patna,flight,8797,135,Golghar,Nalanda University
Bangalore,Patna,flight,6824,72,Golghar,Nalanda University
Mumbai,Mysore,flight,3123,238,Mysore Palace,Brindavan Gardens
Lucknow,Shimla,train,3265,429,Mall Road,Jakhoo Temple
Mysore,Shimla,flight,6561,123,Mall Road,Jakhoo Temple
Amritsar,Delhi,flight,5576,112,Red Fort,Qutub Minar
Kashmir,Delhi,flight,3559,141,Red Fort,Qutub Minar
Kashmir,Agra,bus,1181,318,Taj Mahal,Agra Fort
Kolkata,Shimla,train,1791,622,Mall Road,Jakhoo Temple
Nagpur,Kashmir,flight,8778,136,Pahalgam ,Dal Lake
Patna,Mysore,bus,1680,558,Mysore Palace,Brindavan Gardens
Bhopal,Nagpur,flight,4202,62,Deekshabhoomi,Ambazari Lake
Kolkata,Mysore,flight,9745,105,Mysore Palace,Brindavan Gardens
Agra,Mysore,bus,1171,548,Mysore Palace,Brindavan Gardens
Bhopal,Agra,flight,6558,173,Taj Mahal,Agra Fort
Mumbai,Dehradun,flight,4000,229,Robber's Cave,Forest Research Institute
Goa,Kashmir,flight,5999,153,Pahalgam ,Dal Lake
Indore,Mysore,flight,8508,133,Mysore Palace,Brindavan Gardens
Goa,Patna,flight,5922,122,Golghar,Nalanda University
Lucknow,Goa,flight,7408,134,Baga Beach,Fort Aguada
Indore,Varanasi,flight,4286,154,Kashi Vishwanath Temple,Dashashwamedh Ghat
Mumbai,Indore,flight,9327,118,Rajwada Palace,Lal Bagh Palace
Kashmir,Varanasi,flight,7704,121,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bhopal,Delhi,flight,5457,101,Red Fort,Qutub Minar
Bhopal,Bangalore,flight,6409,137,Bangalore Palace,Lalbagh Botanical Garden
Varanasi,Goa,bus,1527,501,Baga Beach,Fort Aguada
Agra,Varanasi,car,4311,375,Kashi Vishwanath Temple,Dashashwamedh Ghat
Bhopal,Kolkata,bus,1768,391,Victoria Memorial,Howrah Bridge
Patna,Udaipur,flight,4596,175,City Palace,Lake Pichola
Bangalore,Goa,flight,5055,231,Baga Beach,Fort Aguada
Nagpur,Dehradun,flight,7650,239,Robber's Cave,Forest Research Institute
Surat,Dehradun,bus,669,601,Robber's Cave,Forest Research Institute
Varanasi,Ahmedabad,train,2297,703,Sabarmati Ashram,Adalaj Stepwell
Agra,Dehradun,car,1553,398,Robber's Cave,Forest Research Institute
Kolkata,Indore,bus,1017,520,Rajwada Palace,Lal Bagh Palace
Patna,Lucknow,flight,6897,201,Bara Imambara,Chota Imambara
Chennai,Goa,flight,3041,155,Baga Beach,Fort Aguada
Amritsar,Pune,train,1161,605,Shaniwar Wada,Aga Khan Palace
Goa,Bangalore,flight,7705,63,Bangalore Palace,Lalbagh Botanical Garden
Hyderabad,Bhopal,flight,7514,127,Upper Lake,Bhimbetka Rock Shelters
Chennai,Goa,bus,1936,787,Baga Beach,Fort Aguada
Agra,Mysore,flight,6937,69,Mysore Palace,Brindavan Gardens
Jaipur,Bangalore,flight,5109,153,Bangalore Palace,Lalbagh Botanical Garden
Delhi,Surat,bus,1513,714,Dumas Beach,Sarthana Nature Park
Goa,Indore,flight,9896,125,Rajwada Palace,Lal Bagh Palace
Delhi,Shimla,bus,1301,715,Mall Road,Jakhoo Temple
Hyderabad,Delhi,bus,1174,718,Red Fort,Qutub Minar
Mysore,Hyderabad,flight,5520,173,Charminar,Golkonda Fort
Surat,Goa,flight,7619,192,Baga Beach,Fort Aguada
Chennai,Udaipur,flight,9035,113,City Palace,Lake Pichola
Chennai,Patna,flight,5973,173,Golghar,Nalanda University
Pune,Nagpur,flight,9152,205,Deekshabhoomi,Ambazari Lake
Ahmedabad,Kolkata,car,2686,216,Victoria Memorial,Howrah Bridge
Surat,Indore,flight,8271,148,Rajwada Palace,Lal Bagh Palace
Udaipur,Jaipur,flight,9443,134,Amber Fort,City Palace
Agra,Hyderabad,flight,7306,184,Charminar,Golkonda Fort
Goa,Nagpur,flight,4240,142,Deekshabhoomi,Ambazari Lake
Bhopal,Kolkata,flight,4038,144,Victoria Memorial,Howrah Bridge
Patna,Mumbai,flight,4355,146,Gateway of India,Marine Drive
Goa,Bhopal,bus,1448,896,Upper Lake,Bhimbetka Rock Shelters
Amritsar,Ahmedabad,car,1905,308,Sabarmati Ashram,Adalaj Stepwell
Amritsar,Udaipur,bus,1302,793,City Palace,Lake Pichola
Chennai,Indore,flight,6635,204,Rajwada Palace,Lal Bagh Palace
Nagpur,Goa,flight,9240,175,Baga Beach,Fort Aguada
Jaipur,Udaipur,flight,3497,164,City Palace,Lake Pichola
Amritsar,Delhi,flight,9932,162,Red Fort,Qutub Minar
Kolkata,Chandigarh,train,2305,347,Rock Garden,Sukhna Lake
Udaipur,Chandigarh,bus,1386,884,Rock Garden,Sukhna Lake
Goa,Amritsar,bus,832,375,Golden Temple,Jallianwala Bagh
Surat,Patna,flight,7646,99,Golghar,Nalanda University
Kashmir,Shimla,bus,1891,734,Mall Road,Jakhoo Temple
Agra,Jaipur,train,1983,396,Amber Fort,City Palace
Mysore,Bhopal,flight,7198,234,Upper Lake,Bhimbetka Rock Shelters
Goa,Bhopal,bus,1296,496,Upper Lake,Bhimbetka Rock Shelters
Nagpur,Shimla,bus,1175,478,Mall Road,Jakhoo Temple
Nagpur,Agra,flight,3108,179,Taj Mahal,Agra Fort
Goa,Mysore,flight,7989,169,Mysore Palace,Brindavan Gardens
Amritsar,Ahmedabad,car,3537,259,Sabarmati Ashram,Adalaj Stepwell
Patna,Pune,flight,6985,71,Shaniwar Wada,Aga Khan Palace
Bangalore,Mysore,bus,1725,487,Mysore Palace,Brindavan Gardens
Hyderabad,Chandigarh,bus,653,825,Rock Garden,Sukhna Lake
Amritsar,Chandigarh,train,2469,314,Rock Garden,Sukhna Lake
Jaipur,Kolkata,train,2489,564,Victoria Memorial,Howrah Bridge
Chandigarh,Bangalore,flight,5171,170,Bangalore Palace,Lalbagh Botanical Garden
Surat,Patna,flight,9115,81,Golghar,Nalanda University
Dehradun,Kolkata,car,3131,446,Victoria Memorial,Howrah Bridge
Bhopal,Udaipur,flight,5787,173,City Palace,Lake Pichola
Pune,Bhopal,bus,1828,861,Upper Lake,Bhimbetka Rock Shelters
Nagpur,Shimla,flight,8457,135,Mall Road,Jakhoo Temple
Bangalore,Shimla,bus,951,678,Mall Road,Jakhoo Temple
Surat,Chandigarh,flight,8992,62,Rock Garden,Sukhna Lake
Mumbai,Lucknow,flight,8724,214,Bara Imambara,Chota Imambara
Patna,Ahmedabad,flight,9747,88,Sabarmati Ashram,Adalaj Stepwell
Kashmir,Kolkata,flight,4926,221,Victoria Memorial,Howrah Bridge
Pune,Dehradun,train,1668,830,Robber's Cave,Forest Research Institute
Bangalore,Lucknow,flight,8705,148,Bara Imambara,Chota Imambara
Chandigarh,Bhopal,flight,9496,146,Upper Lake,Bhimbetka Rock Shelters
Goa,Patna,bus,1705,390,Golghar,Nalanda University
Patna,Bhopal,bus,1435,761,Upper Lake,Bhimbetka Rock Shelters
Kolkata,Pune,car,4998,405,Shaniwar Wada,Aga Khan Palace
Indore,Kashmir,flight,7767,84,Pahalgam ,Dal Lake
Varanasi,Bhopal,bus,1498,359,Upper Lake,Bhimbetka Rock Shelters
Ahmedabad,Dehradun,car,3582,424,Robber's Cave,Forest Research Institute
Bangalore,Indore,flight,4870,185,Rajwada Palace,Lal Bagh Palace
Shimla,Chennai,bus,853,343,Marina Beach,Kapaleeshwarar Temple
Bangalore,Mumbai,bus,1003,793,Gateway of India,Marine Drive
Surat,Kashmir,bus,1893,895,Pahalgam ,Dal Lake
Indore,Amritsar,bus,1122,603,Golden Temple,Jallianwala Bagh
Mysore,Shimla,bus,1280,628,Mall Road,Jakhoo Temple
Varanasi,Kashmir,flight,9366,109,Pahalgam ,Dal Lake
Varanasi,Dehradun,train,1603,443,Robber's Cave,Forest Research Institute
Kashmir,Amritsar,flight,8450,122,Golden Temple,Jallianwala Bagh
Kolkata,Lucknow,car,1933,375,Bara Imambara,Chota Imambara
Lucknow,Patna,flight,5095,225,Golghar,Nalanda University
Indore,Kashmir,bus,1449,347,Pahalgam ,Dal Lake
Patna,Kolkata,bus,1709,790,Victoria Memorial,Howrah Bridge
Bangalore,Indore,flight,9204,130,Rajwada Palace,Lal Bagh Palace
Delhi,Chennai,bus,557,496,Marina Beach,Kapaleeshwarar Temple
Bhopal,Chennai,bus,1660,517,Marina Beach,Kapaleeshwarar Temple
Dehradun,Patna,flight,3713,212,Golghar,Nalanda University
Varanasi,Lucknow,train,3206,660,Bara Imambara,Chota Imambara
Chandigarh,Dehradun,car,4847,362,Robber's Cave,Forest Research Institute
Jaipur,Udaipur,bus,950,637,City Palace,Lake Pichola
Surat,Jaipur,flight,4549,132,Amber Fort,City Palace
Jaipur,Shimla,train,2399,572,Mall Road,Jakhoo Temple
Surat,Bangalore,flight,7244,160,Bangalore Palace,Lalbagh Botanical Garden
Jaipur,Delhi,flight,3085,233,Red Fort,Qutub Minar
Goa,Amritsar,flight,8426,118,Golden Temple,Jallianwala Bagh
Shimla,Dehradun,car,5790,386,Robber's Cave,Forest Research Institute
Udaipur,Agra,flight,8230,105,Taj Mahal,Agra Fort
Lucknow,Chennai,bus,1220,385,Marina Beach,Kapaleeshwarar Temple
Bangalore,Mysore,flight,9536,236,Mysore Palace,Brindavan Gardens
Hyderabad,Udaipur,flight,4878,193,City Palace,Lake Pichola
